{'Rev_num_msg': '001', 'No_ack_flag': '0', 'Cell_id': '0000', 'Channel_id': '05', 'Controller_Name': '                         ', 'VIN_Number': '1234                     ', 'Linking_Group_ID': '01', 'Application_ID': '002', 'Batch_size': '0005', 'Batch_counter': '0001', 'Tightening_Status': '1', 'Torque_status': '1', 'Angle_status': '1', 'Torque_Min_limit': '000000', 'Torque_Max_limit': '001300', 'Torque_final_targe': '000000', 'Torque': '000000', 'Angle_Min': '00010', 'Angle_Max': '00370', 'Final_Angle_Target': '00360', 'Angle': '00361', 'Time_stamp': datetime.datetime(2021, 9, 2, 18, 24, 59), 'Date_time_last_change_App_settings': datetime.datetime(2021, 9, 1, 22, 9, 58), 'Batch_status': '0', 'Tightening_ID': '0000000476'}
{'Rev_num_msg': '001', 'No_ack_flag': '0', 'Cell_id': '0000', 'Channel_id': '05', 'Controller_Name': '                         ', 'VIN_Number': '1234                     ', 'Linking_Group_ID': '01', 'Application_ID': '002', 'Batch_size': '0005', 'Batch_counter': '0002', 'Tightening_Status': '1', 'Torque_status': '1', 'Angle_status': '1', 'Torque_Min_limit': '000000', 'Torque_Max_limit': '001300', 'Torque_final_targe': '000000', 'Torque': '000004', 'Angle_Min': '00010', 'Angle_Max': '00370', 'Final_Angle_Target': '00360', 'Angle': '00361', 'Time_stamp': datetime.datetime(2021, 9, 2, 18, 25, 2), 'Date_time_last_change_App_settings': datetime.datetime(2021, 9, 1, 22, 9, 58), 'Batch_status': '0', 'Tightening_ID': '0000000477'}
{'Rev_num_msg': '001', 'No_ack_flag': '0', 'Cell_id': '0000', 'Channel_id': '05', 'Controller_Name': '                         ', 'VIN_Number': '1234                     ', 'Linking_Group_ID': '01', 'Application_ID': '002', 'Batch_size': '0005', 'Batch_counter': '0003', 'Tightening_Status': '1', 'Torque_status': '1', 'Angle_status': '1', 'Torque_Min_limit': '000000', 'Torque_Max_limit': '001300', 'Torque_final_targe': '000000', 'Torque': '000000', 'Angle_Min': '00010', 'Angle_Max': '00370', 'Final_Angle_Target': '00360', 'Angle': '00361', 'Time_stamp': datetime.datetime(2021, 9, 2, 18, 25, 5), 'Date_time_last_change_App_settings': datetime.datetime(2021, 9, 1, 22, 9, 58), 'Batch_status': '0', 'Tightening_ID': '0000000478'}
{'Rev_num_msg': '001', 'No_ack_flag': '0', 'Cell_id': '0000', 'Channel_id': '05', 'Controller_Name': '                         ', 'VIN_Number': '1234                     ', 'Linking_Group_ID': '01', 'Application_ID': '002', 'Batch_size': '0005', 'Batch_counter': '0004', 'Tightening_Status': '1', 'Torque_status': '1', 'Angle_status': '1', 'Torque_Min_limit': '000000', 'Torque_Max_limit': '001300', 'Torque_final_targe': '000000', 'Torque': '000000', 'Angle_Min': '00010', 'Angle_Max': '00370', 'Final_Angle_Target': '00360', 'Angle': '00361', 'Time_stamp': datetime.datetime(2021, 9, 2, 18, 25, 7), 'Date_time_last_change_App_settings': datetime.datetime(2021, 9, 1, 22, 9, 58), 'Batch_status': '0', 'Tightening_ID': '0000000479'}
{'Rev_num_msg': '001', 'No_ack_flag': '0', 'Cell_id': '0000', 'Channel_id': '05', 'Controller_Name': '                         ', 'VIN_Number': '1234                     ', 'Linking_Group_ID': '00', 'Application_ID': '002', 'Batch_size': '0000', 'Batch_counter': '0000', 'Tightening_Status': '1', 'Torque_status': '1', 'Angle_status': '1', 'Torque_Min_limit': '000000', 'Torque_Max_limit': '001300', 'Torque_final_targe': '000000', 'Torque': '000000', 'Angle_Min': '00010', 'Angle_Max': '00370', 'Final_Angle_Target': '00360', 'Angle': '00361', 'Time_stamp': datetime.datetime(2021, 9, 2, 18, 25, 10), 'Date_time_last_change_App_settings': datetime.datetime(2021, 9, 1, 22, 9, 58), 'Batch_status': '2', 'Tightening_ID': '0000000480'}

{'Rev_num_msg': '001', 'No_ack_flag': '0', 'Cell_id': '0000', 'Channel_id': '05', 'Controller_Name': '                         ', 'VIN_Number': '1234                     ', 'Linking_Group_ID': '01', 'Application_ID': '002', 'Batch_size': '0005', 'Batch_counter': '0001', 'Tightening_Status': '1', 'Torque_status': '1', 'Angle_status': '1', 'Torque_Min_limit': '000000', 'Torque_Max_limit': '001300', 'Torque_final_targe': '000000', 'Torque': '000000', 'Angle_Min': '00010', 'Angle_Max': '00370', 'Final_Angle_Target': '00360', 'Angle': '00361', 'Time_stamp': datetime.datetime(2021, 9, 2, 18, 25, 21), 'Date_time_last_change_App_settings': datetime.datetime(2021, 9, 1, 22, 9, 58), 'Batch_status': '0', 'Tightening_ID': '0000000481'}
{'Rev_num_msg': '001', 'No_ack_flag': '0', 'Cell_id': '0000', 'Channel_id': '05', 'Controller_Name': '                         ', 'VIN_Number': '1234                     ', 'Linking_Group_ID': '01', 'Application_ID': '002', 'Batch_size': '0005', 'Batch_counter': '0002', 'Tightening_Status': '1', 'Torque_status': '1', 'Angle_status': '1', 'Torque_Min_limit': '000000', 'Torque_Max_limit': '001300', 'Torque_final_targe': '000000', 'Torque': '000004', 'Angle_Min': '00010', 'Angle_Max': '00370', 'Final_Angle_Target': '00360', 'Angle': '00361', 'Time_stamp': datetime.datetime(2021, 9, 2, 18, 25, 24), 'Date_time_last_change_App_settings': datetime.datetime(2021, 9, 1, 22, 9, 58), 'Batch_status': '0', 'Tightening_ID': '0000000482'}
{'Rev_num_msg': '001', 'No_ack_flag': '0', 'Cell_id': '0000', 'Channel_id': '05', 'Controller_Name': '                         ', 'VIN_Number': '1234                     ', 'Linking_Group_ID': '01', 'Application_ID': '002', 'Batch_size': '0005', 'Batch_counter': '0003', 'Tightening_Status': '1', 'Torque_status': '1', 'Angle_status': '1', 'Torque_Min_limit': '000000', 'Torque_Max_limit': '001300', 'Torque_final_targe': '000000', 'Torque': '000000', 'Angle_Min': '00010', 'Angle_Max': '00370', 'Final_Angle_Target': '00360', 'Angle': '00361', 'Time_stamp': datetime.datetime(2021, 9, 2, 18, 25, 27), 'Date_time_last_change_App_settings': datetime.datetime(2021, 9, 1, 22, 9, 58), 'Batch_status': '0', 'Tightening_ID': '0000000483'}
{'Rev_num_msg': '001', 'No_ack_flag': '0', 'Cell_id': '0000', 'Channel_id': '05', 'Controller_Name': '                         ', 'VIN_Number': '1234                     ', 'Linking_Group_ID': '01', 'Application_ID': '002', 'Batch_size': '0005', 'Batch_counter': '0004', 'Tightening_Status': '1', 'Torque_status': '1', 'Angle_status': '1', 'Torque_Min_limit': '000000', 'Torque_Max_limit': '001300', 'Torque_final_targe': '000000', 'Torque': '000000', 'Angle_Min': '00010', 'Angle_Max': '00370', 'Final_Angle_Target': '00360', 'Angle': '00361', 'Time_stamp': datetime.datetime(2021, 9, 2, 18, 25, 29), 'Date_time_last_change_App_settings': datetime.datetime(2021, 9, 1, 22, 9, 58), 'Batch_status': '0', 'Tightening_ID': '0000000484'}
{'Rev_num_msg': '001', 'No_ack_flag': '0', 'Cell_id': '0000', 'Channel_id': '05', 'Controller_Name': '                         ', 'VIN_Number': '1234                     ', 'Linking_Group_ID': '00', 'Application_ID': '002', 'Batch_size': '0000', 'Batch_counter': '0000', 'Tightening_Status': '1', 'Torque_status': '1', 'Angle_status': '1', 'Torque_Min_limit': '000000', 'Torque_Max_limit': '001300', 'Torque_final_targe': '000000', 'Torque': '000000', 'Angle_Min': '00010', 'Angle_Max': '00370', 'Final_Angle_Target': '00360', 'Angle': '00361', 'Time_stamp': datetime.datetime(2021, 9, 2, 18, 25, 32), 'Date_time_last_change_App_settings': datetime.datetime(2021, 9, 1, 22, 9, 58), 'Batch_status': '2', 'Tightening_ID': '0000000485'}

{'Rev_num_msg': '001', 'No_ack_flag': '0', 'Cell_id': '0000', 'Channel_id': '05', 'Controller_Name': '                         ', 'VIN_Number': '1234                     ', 'Linking_Group_ID': '01', 'Application_ID': '002', 'Batch_size': '0005', 'Batch_counter': '0001', 'Tightening_Status': '1', 'Torque_status': '1', 'Angle_status': '1', 'Torque_Min_limit': '000000', 'Torque_Max_limit': '001300', 'Torque_final_targe': '000000', 'Torque': '000000', 'Angle_Min': '00010', 'Angle_Max': '00370', 'Final_Angle_Target': '00360', 'Angle': '00361', 'Time_stamp': datetime.datetime(2021, 9, 2, 18, 25, 41), 'Date_time_last_change_App_settings': datetime.datetime(2021, 9, 1, 22, 9, 58), 'Batch_status': '0', 'Tightening_ID': '0000000486'}
{'Rev_num_msg': '001', 'No_ack_flag': '0', 'Cell_id': '0000', 'Channel_id': '05', 'Controller_Name': '                         ', 'VIN_Number': '1234                     ', 'Linking_Group_ID': '01', 'Application_ID': '002', 'Batch_size': '0005', 'Batch_counter': '0002', 'Tightening_Status': '1', 'Torque_status': '1', 'Angle_status': '1', 'Torque_Min_limit': '000000', 'Torque_Max_limit': '001300', 'Torque_final_targe': '000000', 'Torque': '000000', 'Angle_Min': '00010', 'Angle_Max': '00370', 'Final_Angle_Target': '00360', 'Angle': '00361', 'Time_stamp': datetime.datetime(2021, 9, 2, 18, 25, 43), 'Date_time_last_change_App_settings': datetime.datetime(2021, 9, 1, 22, 9, 58), 'Batch_status': '0', 'Tightening_ID': '0000000487'}
{'Rev_num_msg': '001', 'No_ack_flag': '0', 'Cell_id': '0000', 'Channel_id': '05', 'Controller_Name': '                         ', 'VIN_Number': '1234                     ', 'Linking_Group_ID': '01', 'Application_ID': '002', 'Batch_size': '0005', 'Batch_counter': '0003', 'Tightening_Status': '1', 'Torque_status': '1', 'Angle_status': '1', 'Torque_Min_limit': '000000', 'Torque_Max_limit': '001300', 'Torque_final_targe': '000000', 'Torque': '000000', 'Angle_Min': '00010', 'Angle_Max': '00370', 'Final_Angle_Target': '00360', 'Angle': '00361', 'Time_stamp': datetime.datetime(2021, 9, 2, 18, 25, 46), 'Date_time_last_change_App_settings': datetime.datetime(2021, 9, 1, 22, 9, 58), 'Batch_status': '0', 'Tightening_ID': '0000000488'}
{'Rev_num_msg': '001', 'No_ack_flag': '0', 'Cell_id': '0000', 'Channel_id': '05', 'Controller_Name': '                         ', 'VIN_Number': '1234                     ', 'Linking_Group_ID': '01', 'Application_ID': '002', 'Batch_size': '0005', 'Batch_counter': '0004', 'Tightening_Status': '1', 'Torque_status': '1', 'Angle_status': '1', 'Torque_Min_limit': '000000', 'Torque_Max_limit': '001300', 'Torque_final_targe': '000000', 'Torque': '000000', 'Angle_Min': '00010', 'Angle_Max': '00370', 'Final_Angle_Target': '00360', 'Angle': '00361', 'Time_stamp': datetime.datetime(2021, 9, 2, 18, 25, 48), 'Date_time_last_change_App_settings': datetime.datetime(2021, 9, 1, 22, 9, 58), 'Batch_status': '0', 'Tightening_ID': '0000000489'}
{'Rev_num_msg': '001', 'No_ack_flag': '0', 'Cell_id': '0000', 'Channel_id': '05', 'Controller_Name': '                         ', 'VIN_Number': '1234                     ', 'Linking_Group_ID': '00', 'Application_ID': '002', 'Batch_size': '0000', 'Batch_counter': '0000', 'Tightening_Status': '1', 'Torque_status': '1', 'Angle_status': '1', 'Torque_Min_limit': '000000', 'Torque_Max_limit': '001300', 'Torque_final_targe': '000000', 'Torque': '000000', 'Angle_Min': '00010', 'Angle_Max': '00370', 'Final_Angle_Target': '00360', 'Angle': '00361', 'Time_stamp': datetime.datetime(2021, 9, 2, 18, 25, 51), 'Date_time_last_change_App_settings': datetime.datetime(2021, 9, 1, 22, 9, 58), 'Batch_status': '2', 'Tightening_ID': '0000000490'}

{'Rev_num_msg': '001', 'No_ack_flag': '0', 'Cell_id': '0000', 'Channel_id': '05', 'Controller_Name': '                         ', 'VIN_Number': '1234                     ', 'Linking_Group_ID': '01', 'Application_ID': '002', 'Batch_size': '0005', 'Batch_counter': '0000', 'Tightening_Status': '0', 'Torque_status': '1', 'Angle_status': '1', 'Torque_Min_limit': '000000', 'Torque_Max_limit': '001300', 'Torque_final_targe': '000000', 'Torque': '000004', 'Angle_Min': '00010', 'Angle_Max': '00370', 'Final_Angle_Target': '00360', 'Angle': '00195', 'Time_stamp': datetime.datetime(2021, 9, 2, 18, 26, 2), 'Date_time_last_change_App_settings': datetime.datetime(2021, 9, 1, 22, 9, 58), 'Batch_status': '0', 'Tightening_ID': '0000000491'}
